song_name,duration_ms,artist_name,album_name,popularity,played_at,play_month,play_week
Virgen,273763,Adolescent's Orquesta,La Historia... Los Éxitos,69,2025-12-08 23:08:49.528000+00:00,2025-12,2025-49
S E X P L A Y L I S T 1,237853,Omar Courtz,PRIMERA MUSA,72,2025-12-08 22:58:28.268000+00:00,2025-12,2025-49
UNA MÁS,166929,Tainy,DYNASTY,58,2025-12-08 22:53:21.205000+00:00,2025-12,2025-49
Natural - Remix,283200,Little Homie,Natural (Remix),68,2025-12-08 22:50:35.801000+00:00,2025-12,2025-49
PARANORMAL,197935,Tainy,DATA,73,2025-12-08 22:45:13.549000+00:00,2025-12,2025-49
CAFé CON RON,228836,Bad Bunny,DeBÍ TiRAR MáS FOToS,80,2025-12-08 21:37:04.034000+00:00,2025-12,2025-49
West Side,288164,Alvaro Diaz,West Side,57,2025-12-08 21:05:35.046000+00:00,2025-12,2025-49
MÁS DE UNA VEZ,245163,Rauw Alejandro,SATURNO,58,2025-12-08 21:01:03.845000+00:00,2025-12,2025-49
Tuyo,269714,Mora,Primer Dia de Clases,79,2025-12-08 20:57:04.156000+00:00,2025-12,2025-49
El Cielo,191320,Sky Rompiendo,El Cielo,73,2025-12-08 20:52:35.888000+00:00,2025-12,2025-49
Kyoto,247840,Omar Courtz,Kyoto,80,2025-12-08 20:49:03.676000+00:00,2025-12,2025-49
KLOuFRENS,199114,Bad Bunny,DeBÍ TiRAR MáS FOToS,85,2025-12-08 20:45:04.299000+00:00,2025-12,2025-49
ETA - RMX,462561,ROA,ETA (RMX),71,2025-12-08 20:42:01.245000+00:00,2025-12,2025-49
EL CLúB,222568,Bad Bunny,DeBÍ TiRAR MáS FOToS,80,2025-12-08 20:34:04.132000+00:00,2025-12,2025-49
BADGYAL,253962,SAIKO,SAKURA,71,2025-12-08 20:30:03.655000+00:00,2025-12,2025-49
Doblexxó,176720,J Balvin,Rayo,69,2025-12-08 20:26:03.740000+00:00,2025-12,2025-49
Carita Linda,203463,Rauw Alejandro,Carita Linda,68,2025-12-08 20:23:03.871000+00:00,2025-12,2025-49
DEJAU',182836,Rauw Alejandro,SATURNO,67,2025-12-08 20:19:33.882000+00:00,2025-12,2025-49
NUBES,271801,De La Rose,NUBES,78,2025-12-08 20:16:33.815000+00:00,2025-12,2025-49
WASSUP,162263,Young Miko,WASSUP,76,2025-12-08 20:12:03.864000+00:00,2025-12,2025-49
Desesperados,224996,Rauw Alejandro,VICE VERSA,79,2025-12-08 20:09:33.796000+00:00,2025-12,2025-49
Espectacular,185739,Sky Rompiendo,Espectacular,67,2025-12-08 20:05:33.629000+00:00,2025-12,2025-49
Good Looking,258613,Don Omar,Meet The Orphans,67,2025-12-08 20:02:33.866000+00:00,2025-12,2025-49
Tú Con Él,289131,Rauw Alejandro,Cosa Nuestra,80,2025-12-08 19:58:03.648000+00:00,2025-12,2025-49
25/8,243275,Bad Bunny,YHLQMDLG,73,2025-12-08 19:53:33.834000+00:00,2025-12,2025-49
Déjame Entrar,254705,Rauw Alejandro,Cosa Nuestra,70,2025-12-08 19:49:34.077000+00:00,2025-12,2025-49
DE CAROLINA,181621,Rauw Alejandro,SATURNO,69,2025-12-08 19:45:04.061000+00:00,2025-12,2025-49
TURiSTA,190028,Bad Bunny,DeBÍ TiRAR MáS FOToS,80,2025-12-08 19:42:03.787000+00:00,2025-12,2025-49
UNA NOCHE DE LOCURA,164000,Blessd,TRINIDAD BENDITA,72,2025-12-08 19:39:04.007000+00:00,2025-12,2025-49
Hasta Abajo,232226,Don Omar,Meet The Orphans,73,2025-12-08 19:36:03.766000+00:00,2025-12,2025-49
Qué Pasaría...,191018,Rauw Alejandro,Cosa Nuestra,88,2025-12-08 19:32:04.886000+00:00,2025-12,2025-49
Forni,203265,Los Ballers,Forni,64,2025-12-08 19:29:03.508000+00:00,2025-12,2025-49
Extasy,187191,Myke Towers,Para Mi Ex,73,2025-12-08 19:25:33.812000+00:00,2025-12,2025-49
MOTINHA 2.0 (Mete Marcha),118081,DENNIS,MOTINHA 2.0 (Mete Marcha),70,2025-12-08 19:22:33.883000+00:00,2025-12,2025-49
VOY A LLeVARTE PA PR,156364,Bad Bunny,DeBÍ TiRAR MáS FOToS,88,2025-12-08 19:20:37.899000+00:00,2025-12,2025-49
Espresso Martini,191219,Rauw Alejandro,Cosa Nuestra,74,2025-12-08 19:18:03.948000+00:00,2025-12,2025-49
Espresso Martini,191219,Rauw Alejandro,Cosa Nuestra,74,2025-12-08 16:05:04.499000+00:00,2025-12,2025-49
H E A V Y,198906,Omar Courtz,PRIMERA MUSA,68,2025-12-08 15:56:29.322000+00:00,2025-12,2025-49
Mala Mujer,222896,C. Tangana,Ídolo,68,2025-12-08 15:47:48.392000+00:00,2025-12,2025-49
Ni Me Conozco,229787,Rauw Alejandro,Cosa Nuestra,71,2025-12-08 15:41:26.008000+00:00,2025-12,2025-49
ADIVINO,278644,Myke Towers,LA PANTERA NEGRA,76,2025-12-08 15:37:48.489000+00:00,2025-12,2025-49
Belly Danza,245840,Don Omar,King Of Kings,61,2025-12-08 15:32:48.804000+00:00,2025-12,2025-49
BYAK,216346,Alvaro Diaz,SAYONARA,63,2025-12-08 00:29:33.452000+00:00,2025-12,2025-49
Bing Bong,123591,Yailin la Mas Viral,Bing Bong,76,2025-12-08 00:09:54.445000+00:00,2025-12,2025-49
Bing Bong,123591,Yailin la Mas Viral,Bing Bong,76,2025-12-07 20:39:49.993000+00:00,2025-12,2025-48
Bing Bong,123591,Yailin la Mas Viral,Bing Bong,76,2025-12-07 20:32:26.674000+00:00,2025-12,2025-48
Baja Pa' Acá,200000,Rauw Alejandro,Cosa Nuestra,66,2025-12-07 20:25:26.701000+00:00,2025-12,2025-48
CONTRABANDO,175408,Rauw Alejandro,Cosa Nuestra: Capítulo 0,76,2025-12-07 20:21:26.646000+00:00,2025-12,2025-48
NO ME QUIERO CASAR,225654,Bad Bunny,nadie sabe lo que va a pasar mañana,80,2025-12-07 20:18:28.272000+00:00,2025-12,2025-48
Otro Atardecer,244444,Bad Bunny,Un Verano Sin Ti,82,2025-12-07 19:50:33.885000+00:00,2025-12,2025-48
